row,col,c,A,row_fit,col_fit,sigma_x,sigma_y
82.771,231.39,11261.78503,30799.39112,82.57125207,231.174375,0.971646792,0.976005268
73.19,208.54,9493.484421,23182.18197,73.35602174,208.6793781,0.964736272,0.926941301
109.89,197.34,10183.14019,30860.15956,109.6096493,197.0925087,0.983900778,0.975400206
102.52,238.32,8504.603921,23551.0885,102.6718323,238.33044,0.99332574,0.978581702
109.01,245.98,9249.95815,29023.33588,108.8790273,245.8785394,1.015842348,0.991566491
73.32,269.94,11671.30233,33107.21127,73.59028999,270.0628505,0.985161144,0.989611094
70.827,287.1,9954.648495,26553.01373,70.45378916,286.912367,0.983055602,0.979557595
102.07,284.75,12637.33815,25547.26582,102.0157975,284.6490901,0.889866225,0.819651319
107.64,285.19,10763.4757,19650.87763,107.6034559,284.967027,1.002685433,0.938588464
141.4,13.397,10904.92932,38606.50156,140.9703446,13.55183188,0.974459577,0.99299536
148.03,79.429,150,43026,147,83,1.5,1.5
146.41,83.408,11753.29672,24277.35594,147.1405829,82.72978527,1.394178352,1.345522921
150.98,108.61,9697.429396,25461.37729,150.3500156,108.6335623,0.956455707,0.92173989
160.41,84.735,11501.88999,34488.47217,160.1645531,84.14307299,1.02702079,1.009708953
161.74,69.701,10129.43179,25796.54372,161.1618767,70.03054544,0.992619637,0.948257125
178.99,126.3,8174.914073,17010.87394,178.4763498,126.2192717,1.002493692,0.939239851
168.37,78.397,8270.580374,12546.20701,167.8003135,79.08462308,1.292149231,1.470063922
142.88,184.08,9954.374482,30415.77005,142.6934348,184.09942,1.28808839,1.043778027
137.13,151.06,11668.91601,33039.85958,137.0215743,150.6420336,0.978044158,0.954595067
150.1,160.35,10096.43147,25208.33703,150.0076996,160.2512093,0.984851669,0.957987091
161.74,186.88,10550.29455,31272.86379,161.6178679,186.5036602,0.946674165,0.963785433
159.53,180.98,10767.2895,24208.34244,159.452154,180.7639229,0.810363259,0.845636914
190.19,171.7,8032.788819,15928.30139,190.2285828,172.1242178,0.990251506,0.973794316
181.64,210.76,11361.4877,32425.39048,181.1809775,210.6213751,1.025930002,0.976388178
166.75,203.24,8613.010312,22668.5281,166.4190467,203.0507547,1.115144714,1.490240132
157.47,208.54,7565.804883,23023.22904,157.0816802,208.3932915,0.953558633,0.934843183
209.76,16.05,11616.3747,30776.65476,209.7152633,15.74564717,0.992805792,0.937053562
217.42,12.512,13256.55161,37802.62698,217.0450395,12.25993714,0.98654572,0.931021539
233.49,34.327,11303.36084,34927.06105,233.3596102,34.07870418,1.012929048,0.968549367
250.88,42.58,10783.24925,22341.60744,250.7656107,42.44673789,0.970703475,0.892389306
254.27,50.098,14001.70381,24474.22635,254.4989938,49.8935907,0.753717565,0.810143591
257.37,54.667,14930.9143,33183.53581,257.6041447,55.06646986,0.926983433,0.877366234
226.41,77.955,9659.492234,26267.17596,225.9931235,77.91459791,0.983023913,0.937207743
203.86,98,11111.45548,37109.23875,204.0707493,97.88920354,1.011704052,0.961116908
202.39,123.5,9018.973007,23651.0118,202.269603,123.7276287,0.979869794,0.949106983
208.43,142.95,8807.083975,23944.90556,208.1568775,143.0796194,1.012538127,0.969056174
212.85,161.08,8976.65044,24584.64987,212.643167,161.1257416,1.006854998,0.943477985
205.19,179.36,9238.304445,28873.80334,205.2497854,179.3448433,1.02433462,0.998414879
225.53,182.6,9459.857566,27526.28487,224.7064673,182.7736865,0.985403607,0.952053692
250.88,190.71,14267.92867,34184.44206,250.6474724,190.5944532,0.957421389,0.913713196
248.23,184.96,15742.97551,30364.32139,247.8853351,184.713209,0.92766565,0.908061011
252.5,167.27,12011.58513,33118.94663,252.7534759,167.4280274,0.98087711,0.945640864
247.2,159.46,9411.614563,23748.55182,246.8106032,159.3811212,1.004051135,0.980867146
248.23,149.15,10975.1204,31172.9352,248.5319043,149.0478764,1.028292572,0.992301796
244.1,193.36,12727.73377,23907.09327,243.5848754,193.3221838,1.052573937,1.492130102
238.94,204.12,10547.11776,24647.22964,238.7981617,204.5387524,0.981081707,0.935253063
243.22,224.46,11916.96507,30635.55558,243.2589728,225.0026542,0.99819216,0.966185673
229.95,240.68,10960.61939,27322.43947,229.5322822,243.0456899,1.208108068,2.309063947
206.66,251.29,10164.84948,28559.34294,206.8186425,250.6378381,1.060075814,1.003317422
257.37,235.66,9859.84134,20679.45011,257.6513997,235.4871365,0.984395858,0.949203181
199.59,209.43,9550.342096,29406.45525,199.1077674,209.4068229,1.008663093,0.98585673
240.96,262.02,12148.53609,36520.73338,240.9463001,261.6015339,1.033417707,1.012153386
231.43,288.71,10766.69811,36534.0177,231.621099,288.4612071,0.989954695,0.951135337
208.55,285.19,8703.2619,23215.29226,208.1806884,285.0993772,0.96184758,0.960649662
272.99,34.769,11988.54509,32385.39028,273.1370825,34.98233552,0.975100613,0.942857459
267.83,46.56,12917.0813,35772.78729,267.8907714,46.02482988,0.992657655,0.956216616
266.36,59.531,12029.32019,31126.45694,266.435352,59.52532325,0.996797081,0.953676807
292.01,45.971,9758.497729,18178.96899,291.9617165,46.19083385,0.929479624,0.860233899
293.33,37.422,9606.031126,15484.01183,293.7109916,37.07434409,0.946527133,0.927717137
272.99,165.36,13805.65436,43373.00874,272.8205698,164.7981054,1.009876793,0.988997006
292.01,157.1,10201.15365,22397.87061,292.0478777,156.9500799,1.004459843,0.948291478
286.7,142.95,12027.47174,30394.41227,286.7052816,143.581631,0.97398246,0.914114529
266.07,153.27,11307.19188,29794.09258,265.7218699,153.3481233,0.924794019,0.885970273
271.37,207.51,11122.86333,24785.8381,271.6370378,207.612691,0.951591646,0.892577943
282.72,205.74,9718.243478,20318.34486,282.6115802,205.7752905,0.988877449,0.955872217
268.3,267.08,10623.91336,27327.32467,268.2060396,267.038963,1.006771797,0.991582046
272.39,295.83,8616.012692,19569.07749,272.5022181,295.5409256,0.949993063,0.936227753
45.66,192.92,8291.068262,6022.659495,45.53362056,192.6638136,1.146373428,1.135422015
3.0667,298.69,8019.398267,15353.36626,2.090797458,300.8612296,1.850325337,1.734528462
33.148,130.15,8498.507215,15527.72595,33.46059796,130.0501985,0.847347721,0.841616366
64.512,181.75,9833.289623,23897.71376,65.53204504,181.238415,0.954494382,0.957512141
124.2,260.64,11316.56487,19342.93418,124.3340304,259.9885241,1.487927936,0.988814926
135.05,261.47,9334.325474,21630.0113,134.9849743,260.4916398,1.046207728,1.008920039
198.39,165.45,8736.065071,27814.48204,198.0676824,165.3096936,1.010889812,1.020500845
264.71,129.22,9418.379408,27642.11296,264.5369327,128.289929,1.013584162,0.9924705
240.31,86.643,8119.049379,6345.968311,239.822233,86.85701023,1.0663632,1.191873435
